mechanism,percentage_missing,avg_nrmse,min_nrmse,max_nrmse,used_nrmse_values,nrmse_values
MCAR,0.05,0.2387923961802135,0.15712689524757031,0.3112642762938823,"[0.15712689524757031, 0.16076575625568798, 0.16754991017816936, 0.20449891053362734, 0.21103176702698118, 0.2140106517785502, 0.2215467530069041, 0.22511555631943136, 0.2271606350558619, 0.22749396902766755, 0.2439221532890237, 0.26016947280064195, 0.26188119125724885, 0.26387088248059143, 0.2673038476336522, 0.27562652817843136, 0.28082556235637346, 0.2908417095079764, 0.3038414953759975, 0.3112642762938823]","[0.15712689524757031, 0.16076575625568798, 0.16754991017816936, 0.20449891053362734, 0.21103176702698118, 0.2140106517785502, 0.2215467530069041, 0.22511555631943136, 0.2271606350558619, 0.22749396902766755, 0.2439221532890237, 0.26016947280064195, 0.26188119125724885, 0.26387088248059143, 0.2673038476336522, 0.27562652817843136, 0.28082556235637346, 0.2908417095079764, 0.3038414953759975, 0.3112642762938823, 0.3165813580990419, 0.3231828137231577, 0.32864165545131485, 0.3426115316844673, 0.3490416472265449, 0.3661912327802749, 0.3665414347329795, 0.39571870871419984, 0.396267805691766, 0.4097001466857109, 0.42128665481883804, 0.42189471371668585, 0.4225428249604308, 0.43654043519117386, 0.44154118964152994, 0.4717146954481256, 0.47307162760990423, 0.5079625773206918, 0.5224077596782106, 0.7057175976766428]"
MAR,0.05,0.18392743101947562,0.0018158792251504652,0.33472700573638137,"[0.0018158792251504652, 0.002028954686738254, 0.005639119109758129, 0.009892600996005847, 0.026614917729205514, 0.0561859203099276, 0.11246310410847274, 0.15666298853379185, 0.16974746978103908, 0.20329383478614718, 0.24824914577934848, 0.2561250552425909, 0.26207481495720225, 0.2735033492622404, 0.28571763190568567, 0.30287551839902116, 0.3188939529311784, 0.319883335144985, 0.3321540217646418, 0.33472700573638137]","[0.0018158792251504652, 0.002028954686738254, 0.005639119109758129, 0.009892600996005847, 0.026614917729205514, 0.0561859203099276, 0.11246310410847274, 0.15666298853379185, 0.16974746978103908, 0.20329383478614718, 0.24824914577934848, 0.2561250552425909, 0.26207481495720225, 0.2735033492622404, 0.28571763190568567, 0.30287551839902116, 0.3188939529311784, 0.319883335144985, 0.3321540217646418, 0.33472700573638137, 0.3641248536483917, 0.45297504893128726, 0.46793953219228307, 0.5458472458923023, 0.554786584507152, 0.5630011590911164, 0.5811782621122915, 0.5913620173739617, 0.6553991061857505, 0.7144167414184602, 0.7482605283157514, 0.7489429659979826, 0.7566833973232123, 0.768310100767532, 0.7996903390523141, 0.8281042499531298, 0.834238884888134, 0.8925037081747772, 1.0429103765845367, 3.319504478268003]"
MNAR,0.05,0.22698980816223857,0.0025243756337453437,0.5369829814352799,"[0.0025243756337453437, 0.007643386000465224, 0.030458722117431395, 0.03253867799875919, 0.03264279450530267, 0.0341891558307937, 0.13203987844206733, 0.16974746978103908, 0.17826653046700638, 0.24251329552790993, 0.24714535137320398, 0.3026474127881399, 0.3125855466963225, 0.3188939529311784, 0.3329308924125069, 0.35251625015599114, 0.38415836241681545, 0.4354695881515218, 0.4539015385792913, 0.5369829814352799]","[0.0025243756337453437, 0.007643386000465224, 0.030458722117431395, 0.03253867799875919, 0.03264279450530267, 0.0341891558307937, 0.13203987844206733, 0.16974746978103908, 0.17826653046700638, 0.24251329552790993, 0.24714535137320398, 0.3026474127881399, 0.3125855466963225, 0.3188939529311784, 0.3329308924125069, 0.35251625015599114, 0.38415836241681545, 0.4354695881515218, 0.4539015385792913, 0.5369829814352799, 0.5470164709578675, 0.5562891655379923, 0.6241895890767291, 0.6712326960296715, 0.6731947882008068, 0.7421761554292339, 0.7504476902784277, 0.7748422218111589, 0.7862887738894281, 0.7958556789159734, 0.8056441440747036, 0.8109684369138183, 0.9455315100368232, 0.9599897801835271, 1.05979584486125, 1.0679573947962917, 1.0789433503764705, 1.086102871316784, 1.4887641741705433, 1.842801915003611]"
MCAR,0.1,0.27715226339072296,0.16158890563872055,0.3368573949253754,"[0.16158890563872055, 0.1855057162553425, 0.22555098330090587, 0.23857922110018584, 0.25828778748634673, 0.2604664539799114, 0.26384657475673245, 0.2713631819644816, 0.2796595675524773, 0.2829535529750147, 0.2858931461133706, 0.29676111729687193, 0.3061563888727659, 0.30770551079, 0.3119730868130214, 0.3138115786250726, 0.31573655521116545, 0.31804734822327485, 0.3223011959334225, 0.3368573949253754]","[0.16158890563872055, 0.1855057162553425, 0.22555098330090587, 0.23857922110018584, 0.25828778748634673, 0.2604664539799114, 0.26384657475673245, 0.2713631819644816, 0.2796595675524773, 0.2829535529750147, 0.2858931461133706, 0.29676111729687193, 0.3061563888727659, 0.30770551079, 0.3119730868130214, 0.3138115786250726, 0.31573655521116545, 0.31804734822327485, 0.3223011959334225, 0.3368573949253754, 0.33810597117678226, 0.3433179282706234, 0.3434935180982667, 0.3566480931224875, 0.3628970410692411, 0.36803861755630146, 0.36887463071919485, 0.37915196477360075, 0.38112396916658503, 0.3818784222293821, 0.40366675160266685, 0.44370488462815033, 0.4625847192262355, 0.46655836170814985, 0.5329656211235851, 0.5354071114300777, 0.5514713894109201, 0.574296394620176, 0.619705499149948, 0.6667357333064743]"
MAR,0.1,0.3091409906415539,0.007198982990750594,0.5456077649588055,"[0.007198982990750594, 0.03710123176764325, 0.07527287656146305, 0.09593695502388144, 0.23447669367296892, 0.2814822784193649, 0.28333699915258487, 0.28531313991309365, 0.28801674744267375, 0.3137783820566964, 0.3355966856456175, 0.3443672030074408, 0.357616481886805, 0.36820971560138294, 0.39822334733641473, 0.4508314888369988, 0.475055028975537, 0.48369310590293607, 0.5217047036780194, 0.5456077649588055]","[0.007198982990750594, 0.03710123176764325, 0.07527287656146305, 0.09593695502388144, 0.23447669367296892, 0.2814822784193649, 0.28333699915258487, 0.28531313991309365, 0.28801674744267375, 0.3137783820566964, 0.3355966856456175, 0.3443672030074408, 0.357616481886805, 0.36820971560138294, 0.39822334733641473, 0.4508314888369988, 0.475055028975537, 0.48369310590293607, 0.5217047036780194, 0.5456077649588055, 0.5485769209483917, 0.6078908778428324, 0.6084782154889077, 0.6181832442283013, 0.6193227559625324, 0.6404040147618224, 0.6634832707828409, 0.6824173914254797, 0.7764036425964955, 0.7923184014727519, 0.8029085008138219, 0.8688732870611522, 0.9672300194588179, 0.9763119570171374, 0.9968362713189777, 1.019446860462653, 1.0379140112178198, 1.0920108700612374, 1.363670216484982, 1.5580424108531683]"
MNAR,0.1,0.33630514371239617,0.009420801352366294,0.716386209300228,"[0.009420801352366294, 0.02717480964456755, 0.04712788618330844, 0.08167076458261949, 0.09168147503915072, 0.12259162070978559, 0.24934916453176872, 0.2501994681865483, 0.2639549399334816, 0.32465731594951275, 0.35443276081537356, 0.3853668114354899, 0.3996806031742248, 0.4360293563628785, 0.5169715196155735, 0.5432910451793778, 0.5951634114421319, 0.6409427465733686, 0.6700101642361687, 0.716386209300228]","[0.009420801352366294, 0.02717480964456755, 0.04712788618330844, 0.08167076458261949, 0.09168147503915072, 0.12259162070978559, 0.24934916453176872, 0.2501994681865483, 0.2639549399334816, 0.32465731594951275, 0.35443276081537356, 0.3853668114354899, 0.3996806031742248, 0.4360293563628785, 0.5169715196155735, 0.5432910451793778, 0.5951634114421319, 0.6409427465733686, 0.6700101642361687, 0.716386209300228, 0.7174008898720606, 0.744597501569082, 0.7595889633341583, 0.7622352003526818, 0.83714701558798, 0.8598033833634654, 0.8796775680929344, 0.8837711681697338, 0.9235334108250925, 0.9528997410139044, 0.977604178252369, 1.0593819423785813, 1.0601852717399296, 1.1239352399581355, 1.2923159608011794, 1.3386090837279425, 1.4542605925982648, 1.7324796863059964, 1.7877937943639197, 1.9288403170957062]"
MCAR,0.2,0.3451911676705597,0.2109101092594005,0.4056556887926606,"[0.2109101092594005, 0.26194445354940915, 0.2735735287476812, 0.29618067187878266, 0.29867343783110845, 0.3086061456415398, 0.3236935481921074, 0.33678665514417505, 0.3440115345794728, 0.3521656972118869, 0.3672450806163666, 0.3764010987201768, 0.3777068485993944, 0.381098039301376, 0.3909163382800985, 0.394131571824263, 0.39779749052241653, 0.40177956040097984, 0.4045458543178977, 0.4056556887926606]","[0.2109101092594005, 0.26194445354940915, 0.2735735287476812, 0.29618067187878266, 0.29867343783110845, 0.3086061456415398, 0.3236935481921074, 0.33678665514417505, 0.3440115345794728, 0.3521656972118869, 0.3672450806163666, 0.3764010987201768, 0.3777068485993944, 0.381098039301376, 0.3909163382800985, 0.394131571824263, 0.39779749052241653, 0.40177956040097984, 0.4045458543178977, 0.4056556887926606, 0.41049663237472983, 0.42535905500618687, 0.42855568369919306, 0.4415180514697331, 0.4531493222460259, 0.4613201824869065, 0.4657636524638503, 0.4711661534577072, 0.4811486196566654, 0.4858727357556451, 0.4873370348788563, 0.5120111271153326, 0.51719903890177, 0.5177240245945504, 0.5270952334776801, 0.5443431155990007, 0.5693744719123034, 0.5930412789872005, 0.6051920896929169, 0.6106302599869462]"
MAR,0.2,0.36046996342339066,0.05908461513448205,0.6163562769575651,"[0.05908461513448205, 0.2043738550296489, 0.21090447016254885, 0.21518989314335063, 0.21642451309778843, 0.2648089134088341, 0.26650406831233625, 0.31570474215992766, 0.3235159076994726, 0.32421235088930117, 0.34007614175053014, 0.34734010426171696, 0.36902366660312597, 0.4419647016340658, 0.4831454842266259, 0.5233999693029192, 0.5326194948619899, 0.5448207515073078, 0.6099293483242763, 0.6163562769575651]","[0.05908461513448205, 0.2043738550296489, 0.21090447016254885, 0.21518989314335063, 0.21642451309778843, 0.2648089134088341, 0.26650406831233625, 0.31570474215992766, 0.3235159076994726, 0.32421235088930117, 0.34007614175053014, 0.34734010426171696, 0.36902366660312597, 0.4419647016340658, 0.4831454842266259, 0.5233999693029192, 0.5326194948619899, 0.5448207515073078, 0.6099293483242763, 0.6163562769575651, 0.6408927572538936, 0.643623412279564, 0.6846290273910894, 0.6866865006039126, 0.711345269048808, 0.7876329703680046, 0.900286916919048, 0.9181798534334347, 0.9346177053309823, 0.9766845048238919, 0.997476749275336, 1.025272310948207, 1.0410433086196471, 1.0542576612348353, 1.1202139907865067, 1.1959076372618385, 1.2393404574010385, 1.380959359989617, 1.8612641786233841, 2.042138653171866]"
MNAR,0.2,0.5103936625414416,0.0734761804742633,0.8045088324125258,"[0.0734761804742633, 0.25795528835437226, 0.28566784824672087, 0.3229154700660091, 0.35623095129549287, 0.4532685979223067, 0.47419922103744894, 0.4992772034476758, 0.5309502017542705, 0.5560276083337056, 0.5563557859994214, 0.5636568071500441, 0.5693937236419417, 0.5948560383230063, 0.6041187312386789, 0.6111438552489032, 0.6323507101937839, 0.7160429406687974, 0.7454772550194639, 0.8045088324125258]","[0.0734761804742633, 0.25795528835437226, 0.28566784824672087, 0.3229154700660091, 0.35623095129549287, 0.4532685979223067, 0.47419922103744894, 0.4992772034476758, 0.5309502017542705, 0.5560276083337056, 0.5563557859994214, 0.5636568071500441, 0.5693937236419417, 0.5948560383230063, 0.6041187312386789, 0.6111438552489032, 0.6323507101937839, 0.7160429406687974, 0.7454772550194639, 0.8045088324125258, 0.8211163857195368, 0.845834274159998, 0.9274846079308635, 0.9708506050853646, 0.9945590748357864, 0.999186265864422, 1.067621910160011, 1.0793037738965547, 1.0811500355586812, 1.0828238150298861, 1.1194901389415963, 1.122395171097741, 1.1819350728042173, 1.2023126458439306, 1.312204401265347, 1.3286308177539594, 1.3336359815467849, 1.396167222550271, 1.4722211346236498, 1.7912605593300794]"
MCAR,0.3,0.3717884679646693,0.30171661937735456,0.4513221703922158,"[0.30171661937735456, 0.31709761988500906, 0.33042375071777824, 0.344176241943443, 0.3467612713233779, 0.3477676626214472, 0.3526218707713782, 0.352818231806664, 0.35825894299448474, 0.3626767111740301, 0.363326296914932, 0.3778933888307842, 0.38507453554444393, 0.3870340795460364, 0.3959750278257028, 0.4043605193323812, 0.4053131008393785, 0.42081474119757467, 0.4303365762549694, 0.4513221703922158]","[0.30171661937735456, 0.31709761988500906, 0.33042375071777824, 0.344176241943443, 0.3467612713233779, 0.3477676626214472, 0.3526218707713782, 0.352818231806664, 0.35825894299448474, 0.3626767111740301, 0.363326296914932, 0.3778933888307842, 0.38507453554444393, 0.3870340795460364, 0.3959750278257028, 0.4043605193323812, 0.4053131008393785, 0.42081474119757467, 0.4303365762549694, 0.4513221703922158, 0.45177637486622463, 0.458625070189007, 0.4649643217585165, 0.4658169181048936, 0.46660244162296094, 0.47350249586241894, 0.47679363809825026, 0.48149888306197514, 0.4818919156396642, 0.4830500595241645, 0.4856884783597282, 0.48615927462105096, 0.5135562626522869, 0.5199418333194501, 0.5278715622298907, 0.5683504578634018, 0.607384631232419, 0.6260557596373203, 0.6699579063297472, 0.6910456460135133]"
